system   D            wsystem.c:583  maybe_parent_dir                 [   0.00082] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\Pacheco\
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.18041] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.18185] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.18189] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.20548] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.36866] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.36869] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.36871] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.36874] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.36877] Returning d3d_display: 01148300
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.36878] al_display=01148300
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.36879] al_display->vt=01144BE0
dtor     D               dtor.c:184  _al_register_destructor          [   0.37080] added dtor for object 04520850, func 0F3624D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.37085] added dtor for object 045209D0, func 0F3627A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37248] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37251] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37252] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37253] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37254] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37254] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37255] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37256] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37257] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.37258] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.37259] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.37260] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.37262] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.37289] added dtor for object 04523370, func 0F362595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.37550] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.37554] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.42073] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.42077] _al_d3d_sync_bitmap (video) ref count == 1
